day,time,avg_hvac,avg_pmv,Optimal,Inefficient_Energy,Thermal_Overdrive,Thermal_Neglect,"Scenario, median 0.6 HVAC"
01/01/2019,0,0.629376694,0.491666667,,,1,,Scenario 3: Comfortable but High Energy
01/01/2019,1,0.725826558,0.5,,,1,,Scenario 3: Comfortable but High Energy
01/01/2019,2,0.990643631,0.5,,,1,,Scenario 3: Comfortable but High Energy
01/01/2019,3,1.086023035,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,4,1.073644986,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,5,1.147906504,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,6,1.153685637,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,7,1.34054878,0.691666667,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,8,1.572750677,0.758333333,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,9,1.401666667,0.866666667,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,10,1.256226287,0.9,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,11,1.092655826,0.983333333,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,12,0.97147019,1,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,13,0.763333333,1,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,14,0.787649052,1,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,15,0.635833333,1.058333333,,1,,,Scenario 2: Wasteful & Uncomfortable
01/01/2019,16,0.526944445,1.1,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,17,0.471226287,1.091666667,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,18,0.417432249,1.091666667,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,19,0.25844851,1,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,20,0.246138211,0.991666667,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,21,0.159911924,0.9,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,22,0.111863144,0.9,,,,1,Scenario 4: Uncomfortable but Low Energy
01/01/2019,23,0.073245258,0.9,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,0,0.223746313,0.9,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,1,0.236556047,0.825,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,2,0.151865782,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,3,0.093554572,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,4,0.072168142,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,5,0.061135694,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,6,0.052123894,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,7,0.407817109,0.591666667,,,,1,Scenario 4: Uncomfortable but Low Energy
02/01/2019,8,0.793569322,0.166666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,9,0.806408555,0.116666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,10,1.343702065,0.1,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,11,1.474727139,0.091666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,12,1.448982301,0.1,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,13,1.488126844,0.1,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,14,1.43761062,0.116666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,15,1.362558997,0.166666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,16,1.302957227,0.108333333,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,17,0.970553097,0.1,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,18,0.736777286,0.133333333,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,19,0.87289823,0.316666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,20,0.851983776,0.441666667,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,21,0.707529498,0.5,,,1,,Scenario 3: Comfortable but High Energy
02/01/2019,22,0.639432153,0.583333333,,1,,,Scenario 2: Wasteful & Uncomfortable
02/01/2019,23,0.533458702,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,0,0.328563218,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,1,0.259482759,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,2,0.213247126,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,3,0.167471265,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,4,0.151609196,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,5,0.124683908,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,6,0.141954023,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,7,0.292586207,0.525,,,,1,Scenario 4: Uncomfortable but Low Energy
03/01/2019,8,0.511408046,0.075,1,,,,Scenario 1: Efficient & Comfortable
03/01/2019,9,0.688850575,0.091666667,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,10,1.085747126,0.108333333,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,11,1.274568966,0.175,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,12,1.29954023,0.166666667,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,13,1.338390805,0.2,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,14,1.286264368,0.191666667,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,15,1.492356322,0.15,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,16,1.536867816,0.2,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,17,1.068505747,0.15,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,18,0.651206897,0.108333333,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,19,0.87908046,0.258333333,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,20,0.706005747,0.391666667,,,1,,Scenario 3: Comfortable but High Energy
03/01/2019,21,0.577327586,0.483333333,1,,,,Scenario 1: Efficient & Comfortable
03/01/2019,22,0.479597701,0.5,1,,,,Scenario 1: Efficient & Comfortable
03/01/2019,23,0.445431034,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,0,0.418136201,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,1,0.35531362,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,2,0.297867384,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,3,0.237464158,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,4,0.180331541,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,5,0.142383513,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,6,0.20094086,0.533333333,,,,1,Scenario 4: Uncomfortable but Low Energy
04/01/2019,7,0.436209678,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,8,0.443396057,0.133333333,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,9,0.926845878,0.108333333,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,10,1.252643369,0.158333333,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,11,1.387051971,0.191666667,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,12,1.380268817,0.15,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,13,1.249704301,0.1,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,14,1.050483871,0.1,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,15,1.030134409,0.15,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,16,0.894247312,0.191666667,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,17,0.673181004,0.2,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,18,0.526621864,0.166666667,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,19,0.787293907,0.316666667,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,20,0.631550179,0.416666667,,,1,,Scenario 3: Comfortable but High Energy
04/01/2019,21,0.429032258,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,22,0.447365591,0.5,1,,,,Scenario 1: Efficient & Comfortable
04/01/2019,23,0.441155914,0.5,1,,,,Scenario 1: Efficient & Comfortable
05/01/2019,0,1.251602564,0.5,,,1,,Scenario 3: Comfortable but High Energy
05/01/2019,1,1.170128205,0.5,,,1,,Scenario 3: Comfortable but High Energy
05/01/2019,2,1.025833333,0.5,,,1,,Scenario 3: Comfortable but High Energy
05/01/2019,3,0.903782051,0.5,,,1,,Scenario 3: Comfortable but High Energy
05/01/2019,4,0.831666667,0.5,,,1,,Scenario 3: Comfortable but High Energy
05/01/2019,5,0.783717949,0.5,,,1,,Scenario 3: Comfortable but High Energy
05/01/2019,6,0.832692308,0.566666667,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,7,1.131217949,0.608333333,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,8,0.876923077,0.741666667,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,9,0.857948718,0.85,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,10,0.899038462,0.95,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,11,0.906217949,1,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,12,0.806153846,1.091666667,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,13,0.653717949,1.1,,1,,,Scenario 2: Wasteful & Uncomfortable
05/01/2019,14,0.513141026,1.1,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,15,0.286987179,1.1,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,16,0.171538461,1.041666667,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,17,0.166282051,1,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,18,0.299935897,0.916666667,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,19,0.30974359,0.9,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,20,0.315705128,0.825,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,21,0.335448718,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,22,0.354786325,0.777777778,,,,1,Scenario 4: Uncomfortable but Low Energy
05/01/2019,23,0.332179487,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
06/01/2019,0,0.649935897,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,1,0.7975,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,2,0.764166667,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,3,0.771666667,0.691666667,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,4,0.725,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,5,0.706666667,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,6,0.675,0.625,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,7,0.606666667,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,8,0.670833333,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,9,0.610833333,0.6,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,10,0.626666667,0.641666667,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,11,0.724166667,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,12,0.668333333,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,13,0.685833333,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,14,0.669090909,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,15,0.631666667,0.8,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,16,0.585,0.8,,,,1,Scenario 4: Uncomfortable but Low Energy
06/01/2019,17,0.47,0.741666667,,,,1,Scenario 4: Uncomfortable but Low Energy
06/01/2019,18,0.430833333,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
06/01/2019,19,0.4925,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
06/01/2019,20,0.621666667,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,21,0.5775,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
06/01/2019,22,0.631666667,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
06/01/2019,23,0.718333333,0.7,,1,,,Scenario 2: Wasteful & Uncomfortable
07/01/2019,0,0.296310862,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,1,0.062450062,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,2,0.03082397,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,3,0.020930087,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,4,0.020930087,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,5,0.037690387,0.7,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,6,0.127553059,0.658333333,,,,1,Scenario 4: Uncomfortable but Low Energy
07/01/2019,7,0.356872659,0.475,1,,,,Scenario 1: Efficient & Comfortable
07/01/2019,8,0.658473783,0.158333333,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,9,1.156360799,0.166666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,10,1.453043071,0.116666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,11,1.439609863,0.141666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,12,1.16230025,0.1,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,13,1.258801498,0.091666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,14,1.626810237,0.091666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,15,1.481042447,0.091666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,16,1.531747815,0.1,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,17,1.015115481,0.058333333,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,18,0.730480649,0.033333333,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,19,0.937013109,0.25,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,20,0.898679775,0.416666667,,,1,,Scenario 3: Comfortable but High Energy
07/01/2019,21,0.599803371,0.5,1,,,,Scenario 1: Efficient & Comfortable
07/01/2019,22,0.538383271,0.5,1,,,,Scenario 1: Efficient & Comfortable
07/01/2019,23,0.486323346,0.5,1,,,,Scenario 1: Efficient & Comfortable
08/01/2019,0,0.361311354,0.5,1,,,,Scenario 1: Efficient & Comfortable
08/01/2019,1,0.317324562,0.558333333,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,2,0.246973684,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,3,0.204649123,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,4,0.168333334,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,5,0.150146199,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,6,0.154122807,0.6,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,7,0.412836257,0.583333333,,,,1,Scenario 4: Uncomfortable but Low Energy
08/01/2019,8,0.608932749,0.5,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,9,0.87752924,0.216666667,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,10,1.445175439,0.158333333,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,11,1.426593567,0.175,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,12,1.26495614,0.158333333,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,13,1.303230994,0.1,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,14,1.422646199,0.1,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,15,1.546739766,0.158333333,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,16,1.619186603,0.227272727,,,1,,Scenario 3: Comfortable but High Energy
08/01/2019,17,0.927807018,0.175,,,1,,Scenario 3: Comfortable but High Energy
