day,avg_hvac_work,avg_pmv_work,scenario_work,avg_hvac_break,avg_pmv_break,scenario_break,season
01/01/2019,0.929472392,0.988541667,2,0.716167005,0.763541667,2,2
02/01/2019,1.333134218,0.1125,3,0.462823101,0.572395833,4,2
03/01/2019,1.250323276,0.160416667,3,0.437385057,0.449479167,1,2
04/01/2019,1.146422491,0.14375,3,0.415515233,0.422916667,1,2
05/01/2019,0.636842949,1.029166667,2,0.687806268,0.675661376,2,2
06/01/2019,0.65,0.705263158,2,0.644370994,0.684895833,2,2
07/01/2019,1.388714497,0.1125,3,0.426114622,0.484375,1,2
08/01/2019,1.36056325,0.161052632,3,0.391636236,0.5171875,4,2
09/01/2019,1.136610663,0.302083333,3,0.401828488,0.515104167,4,2
10/01/2019,1.352004014,0.098958333,3,0.433975345,0.4078125,1,2
11/01/2019,1.216086726,0.211578947,3,0.322462757,0.367015707,1,2
12/01/2019,0.759675926,0.847916667,2,0.640058671,0.6546875,2,2
13/01/2019,0.716770833,0.972916667,2,0.59173804,0.840104167,4,2
14/01/2019,1.374465058,0.173958333,3,0.489777298,0.594764398,4,2
15/01/2019,1.347371516,0.165625,3,0.41989333,0.595833333,4,2
16/01/2019,1.312586619,0.128125,3,0.42558419,0.5703125,4,2
17/01/2019,1.181112231,0.13125,3,0.39884726,0.528645833,4,2
18/01/2019,1.358920455,0.146875,3,0.484555993,0.509895833,4,2
19/01/2019,0.41740942,0.870652174,4,0.477582757,0.775,4,2
20/01/2019,0.416840278,0.954166667,4,0.623877366,0.930890052,2,2
21/01/2019,1.420995784,0.172916667,3,0.568602526,0.686979167,4,2
22/01/2019,1.570696819,0.184375,3,0.475042575,0.572774869,4,2
23/01/2019,1.368992003,0.223157895,3,0.445206805,0.532631579,4,2
24/01/2019,1.468864734,0.190625,3,0.535868832,0.520833333,4,2
25/01/2019,1.451137396,0.210416667,3,0.469073498,0.564583333,4,2
26/01/2019,1.102864583,1.161458333,2,0.645981054,0.898192771,2,2
27/01/2019,0.75459177,0.954166667,2,0.34478022,1.057692308,4,2
28/01/2019,0.508556548,1.307291667,4,0.540807292,1.11875,4,2
29/01/2019,0.479984962,1.407368421,4,0.625063575,1.327225131,2,2
30/01/2019,1.215898693,0.23125,3,0.669698421,0.980208333,2,2
31/01/2019,1.195313604,0.182291667,3,0.494480433,0.734375,4,2
01/02/2019,1.318649218,0.200787402,3,0.630261254,0.538686131,2,2
02/02/2019,0.790942885,0.550310559,2,0.317054117,0.686622074,4,2
03/02/2019,0.646949405,1.160416667,2,0.728463346,0.991666667,2,2
04/02/2019,1.348193379,0.141666667,3,0.588568918,0.6828125,4,2
05/02/2019,1.314998714,0.147916667,3,0.479078299,0.602604167,4,2
06/02/2019,1.338962504,0.126315789,3,0.58046928,0.604166667,4,2
07/02/2019,1.267512058,0.164583333,3,0.521347514,0.556770833,4,2
08/02/2019,1.45691041,0.175,3,0.44113286,0.510416667,4,2
09/02/2019,0.63963141,0.934375,2,0.461910833,0.768229167,4,2
10/02/2019,0.277604167,0.990625,4,0.300255075,0.921354167,4,2
11/02/2019,1.38372326,0.104210526,3,0.518215673,0.608900524,4,2
12/02/2019,1.345863928,0.045263158,3,0.497671303,0.521354167,4,2
13/02/2019,1.2581875,0.10625,3,0.496821731,0.483333333,1,2
14/02/2019,1.365737179,0.094791667,3,0.505972356,0.382291667,1,2
15/02/2019,1.147922964,0.133333333,3,0.416973679,0.397916667,1,2
16/02/2019,0.577227183,0.8,4,0.578138513,0.655208333,4,2
17/02/2019,0.7978125,1.047916667,2,0.507730655,0.8734375,4,2
18/02/2019,1.438904443,0.0875,3,0.619255225,0.619791667,2,2
19/02/2019,1.266264374,0.136842105,3,0.464801526,0.540104167,4,2
20/02/2019,1.371919643,0.141666667,3,0.509967914,0.436979167,1,2
21/02/2019,1.310897436,0.20625,3,0.501559829,0.409375,1,2
22/02/2019,1.331141615,0.205208333,3,0.421242349,0.368229167,1,2
23/02/2019,0.58413506,0.532978723,4,0.527321454,0.452879581,1,2
24/02/2019,0.503046875,0.711458333,4,0.605555933,0.6265625,2,2
25/02/2019,1.296294688,0.144791667,3,0.60469879,0.465104167,3,2
26/02/2019,1.433606847,0.167708333,3,0.445390037,0.409895833,1,2
27/02/2019,1.311401981,0.141666667,3,0.492511714,0.4140625,1,2
28/02/2019,1.154372937,0.211458333,3,0.386852217,0.403141361,1,2
01/03/2019,1.275270468,0.126041667,3,0.422758734,0.4046875,1,3
02/03/2019,0.718715278,0.828125,2,0.502686637,0.67712766,4,3
03/03/2019,0.559492823,1.025263158,4,0.528923611,0.89375,4,3
04/03/2019,1.302896898,0.094791667,3,0.757787996,0.627604167,2,3
05/03/2019,1.305839461,0.102083333,3,0.560683648,0.511979167,4,3
06/03/2019,1.349141383,0.159375,3,0.496587148,0.473958333,1,3
07/03/2019,1.15375744,0.161458333,3,0.497059314,0.366145833,1,3
08/03/2019,1.201232073,0.16,3,0.570215749,0.434375,1,3
